ID,BILL_SEPT,BILL_AUG,BILL_JULY,BILL_JUNE,BILL_MAY,BILL_APRIL,PAY_SEPT,PAY_AUG,PAY_JULY,PAY_JUNE,PAY_MAY,PAY_APRIL,AGE,SEX,EDUCATION,MARRIAGE,DEFAULT
1,3913,3102,689,0,0,0,0,689,0,0,0,0,24,Female,University,Married,Yes
2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,26,Female,University,Single,Yes
3,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,34,Female,University,Single,NO
4,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,37,Female,University,Married,NO
5,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,57,Male,University,Married,NO
6,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,37,Male,Graduate School,Single,NO
7,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,29,Male,Graduate School,Single,NO
8,11876,380,601,221,-159,567,380,601,0,581,1687,1542,23,Female,University,Single,NO
9,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,28,Female,High School,Married,NO
10,0,0,0,0,13007,13912,0,0,0,13007,1122,0,35,Male,High School,Single,NO
11,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,34,Female,High School,Single,NO
12,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,51,Female,Graduate School,Single,NO
13,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,41,Female,University,Single,NO
14,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,30,Male,University,Single,Yes
15,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,29,Male,Graduate School,Single,NO
16,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,23,Female,High School,Others,NO
17,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,24,Male,Graduate School,Single,Yes
18,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,49,Male,Graduate School,Married,NO
19,0,0,0,0,0,0,0,0,0,0,0,0,49,Female,Graduate School,Married,NO
20,0,0,0,0,0,0,0,0,0,0,0,0,29,Female,Graduate School,Single,NO
21,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,39,Female,High School,Single,NO
22,316,316,316,0,632,316,316,316,0,632,316,0,39,Female,University,Married,Yes
23,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,26,Female,University,Single,Yes
24,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,40,Female,Graduate School,Married,Yes
25,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,23,Male,Graduate School,Single,NO
26,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,23,Male,High School,Single,NO
27,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,27,Male,Graduate School,Single,Yes
28,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,30,Female,High School,Single,NO
29,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,47,Female,High School,Married,NO
30,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,26,Male,Graduate School,Single,NO
31,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,27,Female,Graduate School,Single,NO
32,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,33,Male,University,Single,Yes
33,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,32,Male,Graduate School,Single,NO
34,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,54,Female,University,Married,NO
35,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,58,Male,Graduate School,Married,NO
36,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,30,Male,Graduate School,Single,NO
37,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,40,Male,University,Married,NO
38,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,22,Female,University,Single,NO
39,0,780,0,0,0,0,780,0,0,0,0,0,25,Male,Graduate School,Single,Yes
40,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,31,Male,Graduate School,Single,NO
41,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,33,Male,Graduate School,Single,NO
42,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,25,Female,Graduate School,Single,NO
43,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,22,Male,University,Single,NO
44,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,37,Female,University,Married,NO
45,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,30,Female,Graduate School,Single,NO
46,0,0,0,0,0,0,0,0,0,0,0,0,29,Male,Graduate School,Single,Yes
47,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,22,Female,Graduate School,Single,Yes
48,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,46,Female,Others,Single,Yes
49,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,32,Male,University,Single,NO
50,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,24,Male,Graduate School,Single,NO
51,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,42,Male,High School,Single,Yes
52,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,43,Female,High School,Others,NO
53,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,49,Female,University,Married,NO
54,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,25,Female,Graduate School,Single,NO
55,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,29,Female,Graduate School,Single,NO
56,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,45,Female,Graduate School,Married,NO
57,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,34,Female,High School,Married,NO
58,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,34,Female,University,Married,NO
59,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,34,Female,Graduate School,Single,NO
60,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,29,Female,University,Married,NO
61,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,28,Female,High School,Married,Yes
62,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,39,Male,University,Married,NO
63,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,29,Male,Graduate School,Single,Yes
64,28718,29166,0,0,0,0,1000,0,0,0,0,0,46,Female,University,Married,Yes
65,99,0,0,0,2353,0,0,0,0,2353,0,0,51,Female,University,Married,NO
66,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,57,Male,Graduate School,Married,Yes
